Name (English),Region of Focus,Language,Entity owner (English),Parent entity (English),TikTok account,TikTok URL,TikTok Subscriber #
Yang Xinmeng (Abby Yang),Anglosphere,English,China Media Group (CMG),Central Publicity Department,_bubblyabby_,https://www.tiktok.com/@_bubblyabby_,660.0
Chen Zhong (Dechinghutay / Ghoti),Afghanistan,Pashto,China Media Group (CMG),Central Publicity Department,dechinghutay,https://www.tiktok.com/@dechinghutay,326100.0
Chinese Embassy in France,France,French,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ambassadedechine,https://www.tiktok.com/@ambassadedechine,168600.0
Chinese Embassy in Italy,Italy,Italian,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ambcina,https://www.tiktok.com/@ambcina,7989.0
Andy Boreham,Shanghai,English,Shanghai United Media Group (SUMG),Shanghai Municipal Committee,andysshanghailife,https://www.tiktok.com/@andysshanghailife,2733.0
Ma Ye (Ayisha Elseenya / عائشة الصينية),MENA,Arabic,China Media Group (CMG),Central Publicity Department,ayishaelseenya,https://www.tiktok.com/@ayishaelseenya,31200.0
Discover Beijing,Anglosphere,English,unknown,unknown,discoverbeijing,https://www.tiktok.com/@discoverbeijing,9009.0
Chinese Consulate General in Belfast,UK,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ccgbelfast,https://www.tiktok.com/@ccgbelfast,16.0
CCTV+,China,Chinese,China Media Group (CMG),Central Publicity Department,cctv_plus,https://www.tiktok.com/@cctv_plus,104.0
CCTV News,China,Chinese,China Media Group (CMG),Central Publicity Department,MS4wLjABAAAASonqW9AAJrQJEqO2X5AW7RPRWe-Xofil3_ismHmHIg-_IxqJi5wTpc29D4AFKVod,https://www.tiktok.com/@MS4wLjABAAAASonqW9AAJrQJEqO2X5AW7RPRWe-Xofil3_ismHmHIg-_IxqJi5wTpc29D4AFKVod,663.0
Chinese Consulate General in Zurich,Switzerland,German,Ministry of Foreign Affairs,Ministry of Foreign Affairs,chinakonsulzurich,https://www.tiktok.com/@chinakonsulzurich,40900.0
Zhang Meifang,UK,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,cgmeifangzhang,https://www.tiktok.com/@cgmeifangzhang,1071.0
CGTN Arabic,MENA,Arabic,China Media Group (CMG),Central Publicity Department,cgtnarabic,https://www.tiktok.com/@cgtnarabic,66.0
CGTN Europe,EU,English,China Media Group (CMG),Central Publicity Department,cgtneurope,https://www.tiktok.com/@cgtneurope,225800.0
CGTN Français,la Francophonie,French,China Media Group (CMG),Central Publicity Department,MS4wLjABAAAAjFS_QqZGXMn9w7Ey9yZdsc-vjBGL8H8rxtUo37BCPiomar-19ilC2SOU6B2SJ2Fb,https://www.tiktok.com/@MS4wLjABAAAAjFS_QqZGXMn9w7Ey9yZdsc-vjBGL8H8rxtUo37BCPiomar-19ilC2SOU6B2SJ2Fb,168.0
CGTN Russian,Russia,Russian,China Media Group (CMG),Central Publicity Department,cgtn_russian,https://www.tiktok.com/@cgtn_russian,101.0
"Xiamen, China",Fujian,English,Xiamen Culture and Tourism Bureau,Xiamen Municipal People's Government,visitxiamen,https://www.tiktok.com/@visitxiamen,9.0
China Daily,Anglosphere,English,China Daily Press,Central Publicity Department,chinadailyofficial,https://www.tiktok.com/@chinadailyofficial,1300000.0
Chinese Embassy in Rep. of Congo (Brazzaville),Rep. of Congo,French,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ambassadechineaucongo,https://www.tiktok.com/@ambassadechineaucongo,35.0
Chinese Embassy in Russia,Russia,Russian,Ministry of Foreign Affairs,Ministry of Foreign Affairs,chineseembinrus,https://www.tiktok.com/@chineseembinrus,576.0
Chinese Embassy in United Kingdom (UK),UK,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,chineseembassyinuk,https://www.tiktok.com/@chineseembassyinuk,139.0
Chinese Embassy in United States,USA,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,chineseembassyinus,https://www.tiktok.com/@chineseembassyinus,29200.0
Chinese Consulate General in Johannesburg,South Africa,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,chnconsulategeneraljhb,https://www.tiktok.com/@chnconsulategeneraljhb,56.0
Chinese Embassy in Japan,Japan,Japanese,Ministry of Foreign Affairs,Ministry of Foreign Affairs,chnembassy_jp,https://www.tiktok.com/@chnembassy_jp,184.0
China News Service (CNS) Agency,China,Chinese,China News Service (CNS),United Front Work Department,chinanewsservice,https://www.tiktok.com/@chinanewsservice,32300.0
Xu Zhike (Coco Studio),la Francophonie,French,China Media Group (CMG),Central Publicity Department,cocoenchine,https://www.tiktok.com/@cocoenchine,142100.0
Discover Binhai,Anglosphere,English,Department of Culture and Tourism of Tianjin Binhai District,People's Government of Tianjin Binhai New Area,discoverbinhai,https://www.tiktok.com/@discoverbinhai,36.0
Discover Guangxi,Anglosphere,English,Department of Culture and Tourism of Guangxi Zhuang Autonomous Region,People's Government of Guangxi Zhuang Autonomous Region,discoverguangxichina,https://www.tiktok.com/@discoverguangxichina,9.0
Discover Jilin,Anglosphere,English,Department of Culture and Tourism of Jilin Province,Jilin Provincial People's Government,discoverjilin,https://www.tiktok.com/@discoverjilin,5883.0
Discover Nanjing,Anglosphere,English,Department of Culture and Tourism of Nanjing City,Nanjing Municipal People's Government,discovernanjing,https://www.tiktok.com/@discovernanjing,26600.0
Discover Zhejiang,Anglosphere,English,Department of Culture and Tourism of Zhejiang Province,People's Government of Zhejiang Province,discoverzhejiang,https://www.tiktok.com/@discoverzhejiang,8.0
Discover Xinjiang,Xinjiang,English,"Beijing Jiandanshiji Culture Media Co., Ltd",unknown,discoverxinjiang,https://www.tiktok.com/@discoverxinjiang,12.0
Wang Xin (Fayhaa Wang),Egypt,Arabic,China Media Group (CMG),Central Publicity Department,fayhaa_china,https://www.tiktok.com/@fayhaa_china,421800.0
Global Times,China,Chinese,People's Daily Press,Central Committee of the Chinese Communist Party,globaltimes,https://www.tiktok.com/@globaltimes,550.0
Guangming Daily,China,Chinese,Guangming Daily Press,Central Publicity Department,guangmingdaily,https://www.tiktok.com/@guangmingdaily,29.0
Haiwai Net (People's Daily Overseas),USA,English,People's Daily Press,Central Committee of the Chinese Communist Party,haiwainet.uscenter,https://www.tiktok.com/@haiwainet.uscenter,24700.0
Henan TV,Henan,Chinese,Henan Broadcasting System,Henan Provincial Committee,henantv,https://www.tiktok.com/@henantv,8496.0
Global Times Net,China,Chinese,People's Daily Press,Central Committee of the Chinese Communist Party,huanqiunews,https://www.tiktok.com/@huanqiunews,97800.0
iChongqing,Chongqing,English,Chongqing International Communication Center,Chongqing Municipal Committee,ichongqing.info,https://www.tiktok.com/@ichongqing.info,632.0
Discover China,Anglosphere,English,China International Communications Group (CICG),Central Publicity Department,discoveringchina,https://www.tiktok.com/@discoveringchina,76.0
In Qingdao (Meet Qingdao),Anglosphere,English,Qingdao MOFCOM,Qingdao Municipal People's Government,meetqingdao_,https://www.tiktok.com/@meetqingdao_,183700.0
iPanda,Anglosphere,English,China Media Group (CMG),Central Publicity Department,ipandaofficial,https://www.tiktok.com/@ipandaofficial,2500000.0
Zang Shijie (Jessica Zang),Anglosphere,English,China Media Group (CMG),Central Publicity Department,themomentj_1018,https://www.tiktok.com/@themomentj_1018,16800.0
Li Jingjing,Anglosphere,English,China Media Group (CMG),Central Publicity Department,iamlijingjing,https://www.tiktok.com/@iamlijingjing,17200.0
Miao Xiaojuan,Anglosphere,English,Xinhua News Agency,State Council,miaoxiaojuan,https://www.tiktok.com/@miaoxiaojuan,3.0
Mingala News,Myanmar,Burmese,Yunnan Media Group (YMG),Yunnan Provincial Committee,mingalanews,https://www.tiktok.com/@mingalanews,82.0
Zhou Yiqiu (Rachel Zhou / Miss Wow),Anglosphere,English,China Media Group (CMG),Central Publicity Department,misswowtech,https://www.tiktok.com/@misswowtech,5928.0
Waruni JZ,Sri Lanka,Sinhalese,China Media Group (CMG),Central Publicity Department,warunijz,https://www.tiktok.com/@warunijz,43500.0
Modern Express Post,Jiangsu,English,Phoenix Media Investment (Holdings) Limited,Bauhinia Culture Holdings Limited,modernexpress_en,https://www.tiktok.com/@modernexpress_en,0.0
Wang Yingying (A-Chan / Aちゃん),Japan,Japanese,China Media Group (CMG),Central Publicity Department,ajiantoqt78,https://www.tiktok.com/@ajiantoqt78,1722.0
Pandaorama,USA,English,China Media Group (CMG),Central Publicity Department,pandaorama,https://www.tiktok.com/@pandaorama,60700.0
People's Daily,China,Chinese,People's Daily Press,Central Committee of the Chinese Communist Party,peoplesdaily,https://www.tiktok.com/@peoplesdaily,2600000.0
People's Daily Life,Anglosphere,English,People's Daily Press,Central Committee of the Chinese Communist Party,pdchinalife,https://www.tiktok.com/@pdchinalife,151.0
People's Daily App,Anglosphere,English,People's Daily Press,Central Committee of the Chinese Communist Party,peoplesdaily_renminribao,https://www.tiktok.com/@peoplesdaily_renminribao,141200.0
Phoenix TV News,Anglosphere,English,Phoenix Media Investment (Holdings) Limited,Bauhinia Culture Holdings Limited,phoenixtvnews,https://www.tiktok.com/@phoenixtvnews,1100000.0
Chinese Embassy in Czech Rep.,Czech Rep.,Czech,Ministry of Foreign Affairs,Ministry of Foreign Affairs,chineseembassyinczechia,https://www.tiktok.com/@chineseembassyinczechia,24.0
Zhang Shanhui (Mon Pékin Express / Jacky Zhang),la Francophonie,French,China Media Group (CMG),Central Publicity Department,shanhuizhang,https://www.tiktok.com/@shanhuizhang,6.0
Sun Xueying (Teresa Sun / Un Té con Teresa),Hispanophone,Spanish,China Media Group (CMG),Central Publicity Department,unteconteresa,https://www.tiktok.com/@unteconteresa,166900.0
Li Yimei (Vica Li),Anglosphere,English,China Media Group (CMG),Central Publicity Department,vicalichinese,https://www.tiktok.com/@vicalichinese,8885.0
Visit Chongqing,Anglosphere,English,unknown,unknown,visit_chongqing1,https://www.tiktok.com/@visit_chongqing1,46.0
Visit Sanya,Hainan,English,Sanya Tourism Board,Sanya Municipal People's Government,discoversanya,https://www.tiktok.com/@discoversanya,6055.0
Friendly Shandong,Shandong,English,Shandong Provincial Department of Culture and Tourism,Shandong Provincial People's Government,visitshandong,https://www.tiktok.com/@visitshandong,89500.0
Wave Media,Shanghai,English,"Shanghai Guanchazhe Information Technology Co.,Ltd",Shanghai Academy of Social Sciences (SASS),wavemedia2022,https://www.tiktok.com/@wavemedia2022,8685.0
Where Zhengzhou,Anglosphere,English,Zhengzhou Media Group,Zhengzhou Municipal Party Committee,wherezhengzhou,https://www.tiktok.com/@wherezhengzhou,5961.0
"Wuxi, China",Anglosphere,English,China Daily Press,Wuxi Municipal People's Government,wuxi_city,https://www.tiktok.com/@wuxi_city,2309.0
Xu Xinchen (Gerald Xinchen),Anglosphere,English,China Media Group (CMG),Central Publicity Department,xinchen_gerald,https://www.tiktok.com/@xinchen_gerald,1642.0
Xinhua Myanmar (မြန်မာ),Myanmar,Burmese,Xinhua News Agency,State Council,xinhuamyanmar,https://www.tiktok.com/@xinhuamyanmar,885400.0
Zhang Heqing,Pakistan,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,culturalchinacn,https://www.tiktok.com/@culturalchinacn,76.0
Yang Yating (Christina Yang),Anglosphere,English,China Media Group (CMG),Central Publicity Department,yating_y,https://www.tiktok.com/@yating_y,358800.0
Assia,MENA,Arabic,China Media Group (CMG),Central Publicity Department,assia_in_china,https://www.tiktok.com/@assia_in_china,630100.0
CGTN Español,Hispanophone,Spanish,China Media Group (CMG),Central Publicity Department,cgtnenespanol,https://www.tiktok.com/@cgtnenespanol,561.0
Chinese Embassy in South Korea,South Korea,Korean,Ministry of Foreign Affairs,Ministry of Foreign Affairs,chinese_embassy_in_seoul,https://www.tiktok.com/@chinese_embassy_in_seoul,323.0
C The Difference,Anglosphere,English,China Media Group (CMG),Central Publicity Department,cthedifference,https://www.tiktok.com/@cthedifference,625500.0
Phoenix Online,China,Chinese,Phoenix Media Investment (Holdings) Limited,Bauhinia Culture Holdings Limited,ifenglobal,https://www.tiktok.com/@ifenglobal,599100.0
Jimena Li Yu (Jimena a tu clic),Hispanophone,Spanish,China Media Group (CMG),Central Publicity Department,jimenaatuclic,https://www.tiktok.com/@jimenaatuclic,3704.0
Xing Luana (Luana em Pequim),Brazil,Portuguese,China Media Group (CMG),Central Publicity Department,luanaempequim,https://www.tiktok.com/@luanaempequim,225900.0
Mango TV International,Hunan,Chinese,Hunan Satellite TV,Hunan Provincial People's Government,mangotv_international,https://www.tiktok.com/@mangotv_international,150100.0
Phoenix US TV (iFeng),USA,Chinese,Phoenix Media Investment (Holdings) Limited,Bauhinia Culture Holdings Limited,ifengustv,https://www.tiktok.com/@ifengustv,4385.0
Hi China,Anglosphere,English,China Media Group (CMG),Central Publicity Department,hichinaofficial,https://www.tiktok.com/@hichinaofficial,356500.0
China International Import Expo (CIIE),Anglosphere,English,China International Import Expo Bureau,Shanghai Municipal People's Government,ciieonline,https://www.tiktok.com/@ciieonline,4824.0
Xinhua Español,Hispanophone,Spanish,Xinhua News Agency,State Council,xinhuaespanol,https://www.tiktok.com/@xinhuaespanol,69.0
Hubei Announcements (Open Hubei),Hubei,Chinese,General Office of the People's Government of Hubei Province,Hubei Provincial People's Government,open.hubei,https://www.tiktok.com/@open.hubei,24.0
Phoenix TV (Finance),China,Chinese,Phoenix Media Investment (Holdings) Limited,Bauhinia Culture Holdings Limited,phoenixtvfinance,https://www.tiktok.com/@phoenixtvfinance,53300.0
Phoenix TV,China,Chinese,Phoenix Media Investment (Holdings) Limited,Bauhinia Culture Holdings Limited,www.ifeng.com,https://www.tiktok.com/@www.ifeng.com,35200.0
Xinhua London,UK,English,Xinhua News Agency,State Council,xhnewslondon,https://www.tiktok.com/@xhnewslondon,72500.0
Xinhua (Spectrum China),Anglosphere,English,Xinhua News Agency,State Council,1931.11.7.575757,https://www.tiktok.com/@1931.11.7.575757,53.0
CCTV3 Variety,China,Chinese,China Media Group (CMG),Central Publicity Department,cctv_newsandculture,https://www.tiktok.com/@cctv_newsandculture,1113.0
CGTN.tiktok,Anglosphere,English,China Media Group (CMG),Central Publicity Department,cgtn.tiktok,https://www.tiktok.com/@cgtn.tiktok,777.0
CGTN Z,Anglosphere,English,China Media Group (CMG),Central Publicity Department,cgtnz,https://www.tiktok.com/@cgtnz,5565.0
China Consulate Osaka,Japan,Japanese,Ministry of Foreign Affairs,Ministry of Foreign Affairs,chnconsul_osaka,https://www.tiktok.com/@chnconsul_osaka,191.0
Colorful China,Anglosphere,English,China Media Group (CMG),Central Publicity Department,colorfulchina,https://www.tiktok.com/@colorfulchina,21.0
Discover Ningxia,Anglosphere,English,Department of Culture and Tourism of Ningxia Hui Autonomous Region,Ningxia Hui Autonomous Region People's Government,discoverningxia,https://www.tiktok.com/@discoverningxia,14100.0
Discover Tianjin,Anglosphere,English,Department of Culture and Tourism of Tianjin City,Tianjin Municipal People's Government,discovertianjin,https://www.tiktok.com/@discovertianjin,153800.0
Global Times (Glamour China),Anglosphere,English,People's Daily Press,Central Committee of the Chinese Communist Party,glamourchina,https://www.tiktok.com/@glamourchina,2000000.0
Global Watch,Anglosphere,English,China Media Group (CMG),Central Publicity Department,globalwatch,https://www.tiktok.com/@globalwatch,4.0
Haiwai Net (Canada Fusion Media Centre),Canada,English,People's Daily Press,Central Committee of the Chinese Communist Party,haiwaicanada,https://www.tiktok.com/@haiwaicanada,18700.0
Hangzhou 2022,Zhejiang,English,2022 19th Asian Games Organizing Committee,Hangzhou Municipal People's Government,hangzhou2022,https://www.tiktok.com/@hangzhou2022,538.0
Henan TV (HNTV),Henan,Chinese,Henan Broadcasting System,Henan Provincial Committee,henantv,https://www.tiktok.com/@henantv,8489.0
Zhang Niki (Hnin Pwint Phyu),Myanmar,Burmese,China Media Group (CMG),Central Publicity Department,hninpwintphyu_niki,https://www.tiktok.com/@hninpwintphyu_niki,747500.0
Haiwai Net (Japan Fusion Media Center),Japan,Japanese,People's Daily Press,Central Committee of the Chinese Communist Party,hwwrbrmt,https://www.tiktok.com/@hwwrbrmt,21500.0
Wang Iffat,Pakistan,Urdu,China Media Group (CMG),Central Publicity Department,iffat2023,https://www.tiktok.com/@iffat2023,16700.0
iPanda Thailand,Thailand,Thai,China Media Group (CMG),Central Publicity Department,ipanda_th,https://www.tiktok.com/@ipanda_th,22800.0
iPanda (Japanese),Japan,Japanese,China Media Group (CMG),Central Publicity Department,ipanda.jp,https://www.tiktok.com/@ipanda.jp,505700.0
International Channel Shanghai (ICS),Shanghai,English,Shanghai Media Group (SMG),Shanghai Municipal Committee,likechina2021,https://www.tiktok.com/@likechina2021,59100.0
Little Turtle Lisa (Elle),Hainan,English,Sansha Satellite TV (SSTV),Sansha Municipal People's Government,littleturtlelisa,https://www.tiktok.com/@littleturtlelisa,1100000.0
NewsTok,Anglosphere,English,China Media Group (CMG),Central Publicity Department,newstoks,https://www.tiktok.com/@newstoks,32000.0
CGTN Our Planet Needs You,Anglosphere,English,China Media Group (CMG),Central Publicity Department,ourplanetneedsyou,https://www.tiktok.com/@ourplanetneedsyou,428.0
Panda Insight,Anglosphere,English,People's Daily Press,Central Committee of the Chinese Communist Party,panda_insight,https://www.tiktok.com/@panda_insight,104500.0
CGTN Razor Science,Anglosphere,English,China Media Group (CMG),Central Publicity Department,razor_science,https://www.tiktok.com/@razor_science,524.0
Xinwen Qishi Lu,Fujian,Chinese,Fujian Radio Film and TV Group (FJTV),Fujian Provincial Committee,sumonalocal365,https://www.tiktok.com/@sumonalocal365,6.0
The Optimist!,Anglosphere,English,China Media Group (CMG),Central Publicity Department,the...optimist,https://www.tiktok.com/@the...optimist,9237.0
CGTN The Agenda,Anglosphere,English,China Media Group (CMG),Central Publicity Department,theagendashow,https://www.tiktok.com/@theagendashow,318.0
Tang Knows,Anglosphere,English,China Media Group (CMG),Central Publicity Department,tshowyou,https://www.tiktok.com/@tshowyou,353500.0
Visit Jiangsu,Jiangsu,English,Jiangsu Provincial Department of Cultural & Tourism,Jiangsu Provincial People's Government,visit_jiangsu,https://www.tiktok.com/@visit_jiangsu,251700.0
Visit Beijing,Anglosphere,English,Promotional Centre of Beijing Municipal Bureau of Culture and Tourism,Beijing Municipal People's Government,visitbeijing,https://www.tiktok.com/@visitbeijing,912700.0
Visit Shaanxi,Shaanxi,English,Shaanxi Provincial Department of Cultural & Tourism,Shaanxi Provincial People's Government,visitshaanxi,https://www.tiktok.com/@visitshaanxi,12500.0
Xinhua New Delhi,India,English,Xinhua News Agency,State Council,xinhuanewdelhi,https://www.tiktok.com/@xinhuanewdelhi,2548.0
Zhejiang 520,Anglosphere,English,Zhejiang Provincial Government Information Office,Zhejiang Provincial People's Government,zhejiang520,https://www.tiktok.com/@zhejiang520,27.0
